import time: self [us] | cumulative | imported package
import time:     78918 |      78918 |       faker.decode.codes
import time:     23428 |     102346 |     faker.decode
import time:     24526 |      24526 |       faker.utils.text
import time:     29395 |      53921 |     faker.utils.decorators
import time:     44222 |      44222 |       faker.providers.lorem
import time:     67558 |     111780 |     faker.providers.lorem.en_US
import time:     35049 |      35049 |     faker.providers.isbn.isbn
import time:      3452 |       3452 |       _hashlib
import time:       320 |        320 |       _blake2
import time:      3279 |       7050 |     hashlib
import time:      3615 |       3615 |     tarfile
import time:     13273 |      13273 |     faker.exceptions
import time:     21177 |      21177 |     faker.providers.python
import time:     22131 |      22131 |     faker.utils.datasets
import time:     22833 |      22833 |     faker.providers.sbn.rules
import time:     19050 |      19050 |     faker.providers.sbn.sbn
import time:   6756495 |    7347655 |   faker.config
import time:     19430 |    7367084 | faker.factory
import time:     16004 |      16004 | faker.proxy
import time:      1994 |       1994 | readline
import time:       275 |        275 | faulthandler
import time:      1686 |       1686 |   cmd
import time:      8354 |       8354 |     codeop
import time:      4321 |      12675 |   code
import time:      2727 |       2727 |     _pyrepl
import time:       809 |        809 |     _pyrepl.types
import time:      5416 |       5416 |     _pyrepl.trace
import time:     29644 |      38595 |   _pyrepl.utils
import time:     19324 |      72278 | pdb
